"Activity" "Variable" "Subject" "Average"
"LAYING" "tBodyGyro-std-Z" "6" -0.973429930528967
"LAYING" "tBodyGyroJerk-mean-X" "1" -0.436495269540193
"LAYING" "tBodyGyroJerk-mean-X" "2" -0.604278507533333
"LAYING" "tBodyGyroJerk-mean-X" "3" -0.371824946488849
"LAYING" "tBodyGyroJerk-mean-X" "4" -0.987714410676923
"LAYING" "tBodyGyroJerk-mean-X" "5" -0.961984667477477
"LAYING" "tBodyGyroJerk-mean-X" "6" -0.982766473299748
"LAYING" "tBodyGyroJerk-mean-Y" "1" -0.0523900557405145
"LAYING" "tBodyGyroJerk-mean-Y" "2" -0.0353149590150333
"LAYING" "tBodyGyroJerk-mean-Y" "3" -0.0522383564294245
"LAYING" "tBodyGyroJerk-mean-Y" "4" -0.0408899172632
"LAYING" "tBodyGyroJerk-mean-Y" "5" -0.0426020436354354
"LAYING" "tBodyGyroJerk-mean-Y" "6" -0.0378393259800504
"LAYING" "tBodyGyroJerk-mean-Z" "1" -0.0555689293405788
"LAYING" "tBodyGyroJerk-mean-Z" "2" -0.056129550437
"LAYING" "tBodyGyroJerk-mean-Z" "3" -0.0548623930590647
"LAYING" "tBodyGyroJerk-mean-Z" "4" -0.0511442814418462
"LAYING" "tBodyGyroJerk-mean-Z" "5" -0.0522784733236336
"LAYING" "tBodyGyroJerk-mean-Z" "6" -0.0605682357861461
"LAYING" "tBodyGyroJerk-std" "1" -0.178405483436257
"LAYING" "tBodyGyroJerk-std" "2" -0.1265457377486
"LAYING" "tBodyGyroJerk-std" "3" 0.0474833464978058
"LAYING" "tBodyGyroJerk-std" "4" -0.9655569304
"LAYING" "tBodyGyroJerk-std" "5" -0.948792046546547
"LAYING" "tBodyGyroJerk-std" "6" -0.972358482267002
"LAYING" "tBodyGyroJerk-std-Y" "1" -0.533806308430868
"LAYING" "tBodyGyroJerk-std-Y" "2" -0.6744913413
"LAYING" "tBodyGyroJerk-std-Y" "3" -0.533644064172662
"LAYING" "tBodyGyroJerk-std-Y" "4" -0.987418422338462
"LAYING" "tBodyGyroJerk-std-Y" "5" -0.979182505375375
"LAYING" "tBodyGyroJerk-std-Y" "6" -0.98461391440806
"LAYING" "tBodyGyroJerk-std-Z" "1" -0.447846932165916
"LAYING" "tBodyGyroJerk-std-Z" "2" -0.593954431677333
"LAYING" "tBodyGyroJerk-std-Z" "3" -0.363781253533813
"LAYING" "tBodyGyroJerk-std-Z" "4" -0.984711065938462
"LAYING" "tBodyGyroJerk-std-Z" "5" -0.974971104414414
"LAYING" "tBodyGyroJerk-std-Z" "6" -0.988179654937028
"LAYING" "tBodyGyroJerkMag-mean" "1" -0.550423487296463
"LAYING" "tBodyGyroJerkMag-mean" "2" -0.6818692073
"LAYING" "tBodyGyroJerkMag-mean" "3" -0.495136916388849
"LAYING" "tBodyGyroJerkMag-mean" "4" -0.9859974172
"LAYING" "tBodyGyroJerkMag-mean" "5" -0.97079378957958
"LAYING" "tBodyGyroJerkMag-mean" "6" -0.981973526801008
"LAYING" "tBodyGyroJerkMag-std-X" "1" -0.301885407832315
"LAYING" "tBodyGyroJerkMag-std-X" "2" -0.31228888698
"LAYING" "tBodyGyroJerkMag-std-X" "3" -0.0275819379614388
"LAYING" "tBodyGyroJerkMag-std-X" "4" -0.986120173507692
"LAYING" "tBodyGyroJerkMag-std-X" "5" -0.980831307507507
"LAYING" "tBodyGyroJerkMag-std-X" "6" -0.977563189672544
"LAYING" "tBodyGyroMag-mean" "1" -0.389725400257878
"LAYING" "tBodyGyroMag-mean" "2" -0.328332288329333
"LAYING" "tBodyGyroMag-mean" "3" -0.249888964135252
"LAYING" "tBodyGyroMag-mean" "4" -0.960608534646154
"LAYING" "tBodyGyroMag-mean" "5" -0.921928647627628
"LAYING" "tBodyGyroMag-mean" "6" -0.957516611712846
"LAYING" "tBodyGyroMag-std" "1" -0.484463530170418
"LAYING" "tBodyGyroMag-std" "2" -0.636173930266667
"LAYING" "tBodyGyroMag-std" "3" -0.466151698798561
"LAYING" "tBodyGyroMag-std" "4" -0.988972103630769
"LAYING" "tBodyGyroMag-std" "5" -0.976464792642643
"LAYING" "tBodyGyroMag-std" "6" -0.98686237256927
"LAYING" "tGravityAcc-mean-X" "1" -0.978900768488746
"LAYING" "tGravityAcc-mean-X" "2" -0.9538138386
"LAYING" "tGravityAcc-mean-X" "3" -0.952186976942446
"LAYING" "tGravityAcc-mean-X" "4" -0.986450882276923
"LAYING" "tGravityAcc-mean-X" "5" -0.992615523213213
"LAYING" "tGravityAcc-mean-X" "6" -0.967712089899244
"LAYING" "tGravityAcc-mean-Y" "1" -0.1786118364791
"LAYING" "tGravityAcc-mean-Y" "2" -0.270346290033333
"LAYING" "tGravityAcc-mean-Y" "3" -0.154933953633094
"LAYING" "tGravityAcc-mean-Y" "4" 0.0880154279376677
"LAYING" "tGravityAcc-mean-Y" "5" -0.166594531601802
"LAYING" "tGravityAcc-mean-Y" "6" 0.616514184609572
"LAYING" "tGravityAcc-mean-Z" "1" -0.0530996276569453
"LAYING" "tGravityAcc-mean-Z" "2" -0.133526235937807
"LAYING" "tGravityAcc-mean-Z" "3" -0.0428257098185252
"LAYING" "tGravityAcc-mean-Z" "4" 0.191688358764
"LAYING" "tGravityAcc-mean-Z" "5" -0.0118448058299399
"LAYING" "tGravityAcc-mean-Z" "6" 0.531244438740554
"LAYING" "tGravityAcc-std-X" "1" 0.0769939221665595
"LAYING" "tGravityAcc-std-X" "2" 0.0767074499538
"LAYING" "tGravityAcc-std-X" "3" 0.083157165023741
"LAYING" "tGravityAcc-std-X" "4" 0.0761288090067692
"LAYING" "tGravityAcc-std-X" "5" 0.0751955596966967
"LAYING" "tGravityAcc-std-X" "6" 0.0774595596297229
"LAYING" "tGravityAcc-std-Y" "1" -0.968987790128617
"LAYING" "tGravityAcc-std-Y" "2" -0.925391588933333
"LAYING" "tGravityAcc-std-Y" "3" -0.928205920647482
"LAYING" "tGravityAcc-std-Y" "4" -0.971086615076923
"LAYING" "tGravityAcc-std-Y" "5" -0.969256105495495
"LAYING" "tGravityAcc-std-Y" "6" -0.98627979488665
"LAYING" "tGravityAcc-std-Z" "1" -0.951408792765273
"LAYING" "tGravityAcc-std-Z" "2" -0.897363156366667
"LAYING" "tGravityAcc-std-Z" "3" -0.905455196510791
"LAYING" "tGravityAcc-std-Z" "4" -0.959895605815385
"LAYING" "tGravityAcc-std-Z" "5" -0.957573773603604
"LAYING" "tGravityAcc-std-Z" "6" -0.982609786624685
"LAYING" "tGravityAccMag-mean" "1" -0.358347199189711
"LAYING" "tGravityAccMag-mean" "2" -0.250879415027667
"LAYING" "tGravityAccMag-mean" "3" 0.0706067450017986
"LAYING" "tGravityAccMag-mean" "4" -0.956602588769231
"LAYING" "tGravityAccMag-mean" "5" -0.942027848258258
"LAYING" "tGravityAccMag-mean" "6" -0.966128988765743
"LAYING" "tGravityAccMag-std" "1" -0.280261690681994
"LAYING" "tGravityAccMag-std" "2" -0.445723752956667
"LAYING" "tGravityAccMag-std" "3" -0.177960393268345
"LAYING" "tGravityAccMag-std" "4" -0.983666903815385
"LAYING" "tGravityAccMag-std" "5" -0.974579882972973
"LAYING" "tGravityAccMag-std" "6" -0.984802596901763
"SITTING" "fBodyAcc-mean-X" "1" -0.22294025031791
"SITTING" "fBodyAcc-mean-X" "2" -0.144954611403814
"SITTING" "fBodyAcc-mean-X" "3" 0.266604407374537
"SITTING" "fBodyAcc-mean-X" "4" -0.987036389169231
"SITTING" "fBodyAcc-mean-X" "5" -0.9880077575
"SITTING" "fBodyAcc-mean-X" "6" -0.964671900904255
"SITTING" "fBodyAcc-mean-Y" "1" 0.0567164607741418
"SITTING" "fBodyAcc-mean-Y" "2" -0.00580393314110169
"SITTING" "fBodyAcc-mean-Y" "3" 0.147271743577778
"SITTING" "fBodyAcc-mean-Y" "4" -0.962541579107692
"SITTING" "fBodyAcc-mean-Y" "5" -0.948350927977528
"SITTING" "fBodyAcc-mean-Y" "6" -0.964219683271277
"SITTING" "fBodyAcc-mean-Z" "1" -0.291713302940299
"SITTING" "fBodyAcc-mean-Z" "2" -0.367817919289407
"SITTING" "fBodyAcc-mean-Z" "3" -0.168015820880324
"SITTING" "fBodyAcc-mean-Z" "4" -0.967679902067692
"SITTING" "fBodyAcc-mean-Z" "5" -0.966160436629213
"SITTING" "fBodyAcc-mean-Z" "6" -0.969257663351064
"SITTING" "fBodyAcc-std-X" "1" -0.187342577688657
"SITTING" "fBodyAcc-std-X" "2" -0.36168455755339
"SITTING" "fBodyAcc-std-X" "3" 0.0237078658092593
"SITTING" "fBodyAcc-std-X" "4" -0.989158288276923
"SITTING" "fBodyAcc-std-X" "5" -0.982035675646067
"SITTING" "fBodyAcc-std-X" "6" -0.982731097367021
"SITTING" "fBodyAcc-std-Y" "1" 0.0159132108089552
"SITTING" "fBodyAcc-std-Y" "2" 0.0739552923896186
"SITTING" "fBodyAcc-std-Y" "3" 0.133616139230093
"SITTING" "fBodyAcc-std-Y" "4" -0.951700134304615
"SITTING" "fBodyAcc-std-Y" "5" -0.938918959831461
"SITTING" "fBodyAcc-std-Y" "6" -0.959482996808511
"SITTING" "fBodyAcc-std-Z" "1" -0.264373041495149
"SITTING" "fBodyAcc-std-Z" "2" -0.230009071072331
"SITTING" "fBodyAcc-std-Z" "3" -0.230689685208704
"SITTING" "fBodyAcc-std-Z" "4" -0.950553651476923
"SITTING" "fBodyAcc-std-Z" "5" -0.946562893005618
"SITTING" "fBodyAcc-std-Z" "6" -0.956844440638298
"SITTING" "fBodyAccJerk-mean-X" "1" -0.113168631764179
"SITTING" "fBodyAccJerk-mean-X" "2" -0.355155307216949
"SITTING" "fBodyAccJerk-mean-X" "3" 0.046469993223088
"SITTING" "fBodyAccJerk-mean-X" "4" -0.990087763446154
"SITTING" "fBodyAccJerk-mean-X" "5" -0.983885648792135
"SITTING" "fBodyAccJerk-mean-X" "6" -0.984919038537234
"SITTING" "fBodyAccJerk-mean-Y" "1" -0.0660536189436567
"SITTING" "fBodyAccJerk-mean-Y" "2" -0.245275213426695
"SITTING" "fBodyAccJerk-mean-Y" "3" -0.0696833676337963
"SITTING" "fBodyAccJerk-mean-Y" "4" -0.980219647353846
"SITTING" "fBodyAccJerk-mean-Y" "5" -0.967014079382022
"SITTING" "fBodyAccJerk-mean-Y" "6" -0.974883262712766
"SITTING" "fBodyAccJerk-mean-Z" "1" -0.376997972156716
"SITTING" "fBodyAccJerk-mean-Z" "2" -0.564010699398305
"SITTING" "fBodyAccJerk-mean-Z" "3" -0.278715725008333
"SITTING" "fBodyAccJerk-mean-Z" "4" -0.984751557538462
"SITTING" "fBodyAccJerk-mean-Z" "5" -0.980941926629214
"SITTING" "fBodyAccJerk-mean-Z" "6" -0.981674532101064
"SITTING" "fBodyAccJerk-std-X" "1" -0.178611949793657
"SITTING" "fBodyAccJerk-std-X" "2" -0.372874312565254
"SITTING" "fBodyAccJerk-std-X" "3" -0.144525918543519
"SITTING" "fBodyAccJerk-std-X" "4" -0.983701524738462
"SITTING" "fBodyAccJerk-std-X" "5" -0.942507373005618
"SITTING" "fBodyAccJerk-std-X" "6" -0.972286761808511
"SITTING" "fBodyAccJerk-std-Y" "1" 0.0382601414251493
"SITTING" "fBodyAccJerk-std-Y" "2" -0.233918075439492
"SITTING" "fBodyAccJerk-std-Y" "3" -0.0260546654874074
